Tag,Location,Item,Category,Count 1,Count 2,Lab Testing,Current,Difference,Packaged Date
1A401030000AC48000022553,Lab Area,"Tozmoz, Sunset Sherbert, Live Resin",Extracts,283.8,,NotSubmitted,,-283.8,11/23/2021
1A401030000AC48000022554,Lab Area,"Tozmoz, Jagermeister, Live Resin",Extracts,45.3,,NotSubmitted,,-45.3,11/23/2021
1A401030000AC48000022592,Lab Area,"Tozmoz, Grandma's Pie, Cannabis Derived Terpenes",Concentrate,77.84,,NotSubmitted,,-77.84,11/24/2021
1A401030000AC48000022594,Lab Area,"Tozmoz, Hindu Kush, Cannabis-Derived Terpenes",Concentrate,65.18,,NotSubmitted,,-65.18,11/24/2021
1A401030000AC48000022652,Lab Area,"Elysium Fields, Lemon Sour Diesel, Full Spectrum Cannabis Oil, Bulk",Extracts,470.4,,TestPassed,,-470.4,11/29/2021
1A401030000AC48000022653,Lab Area,"Elysium Fields, Mob Queen, Full Spectrum Cannabis Oil",Extracts,470.4,,TestPassed,,-470.4,11/29/2021
1A401030000AC48000022654,Lab Area,"Elysium Fields, Boss Sherbert, Full Spectrum Cannabis Oil",Extracts,479.6,,TestPassed,,-479.6,11/29/2021
1A401030000AC48000022655,Safe/Connex,"Private Stash, Green Apple, 1:1 Flavored Distillate",Inhalable Cannabinoid Product with Non-Cannabis Additives (with ingredients),1041.3,,TestPassed,,-1041.3,11/29/2021
1A401030000AC48000022657,Lab Area,"Elysium Fields, Jager, Full Spectrum Cannabis Oil",Extracts,1073.9,,TestPassed,,-1073.9,11/29/2021
1A401030000AC48000022658,Lab Area,"Elysium Fields, Sunset Dream, Full Spectrum Cannabis Oil",Extracts,994.5,,TestPassed,,-994.5,11/29/2021
1A401030000AC48000022662,Lab Area,"Tozmoz, Cherry Truffle, Cannabis-Derived Terpenes",Extracts,456.2,,NotSubmitted,,-456.2,11/29/2021
1A401030000AC48000022703,Lab Area,"Elysium Fields, BLACK, Hindu Kush, Full Spectrum Cannabis Oil",Extracts,3848.93,,TestPassed,,-3848.93,11/30/2021
1A401030000AC48000022765,Lab Area,"Elysium Fields, BLACK, Sundae Driver, Full Spectrum Cannabis Oil",Extracts,858,,TestPassed,,-858,12/1/2021
1A401030000AC48000022767,Lab Area,"Elysium Fields, BLACK, Huckleberry Diesel, Full Spectrum Cannabis Oil",Extracts,1506.5,,TestPassed,,-1506.5,12/1/2021
